county,state,white_only_noncollege_pct,white_only_educated_pct,hispanic_only_pct,hispanic_educated_pct,asian_only_pct,asian_educated_pct,black_only_pct,black_educated_pct,white_and_white_hispanic_educated_pct,white_and_white_hispanic_noncollege_pct,other_pct,FIPS
Autauga,Alabama,0.534184835,0.160859285,0.021740988,0.003196037,0.004838704,0.031617411,0.150558318,0.031617411,0.1636613,0.538004067,0.12781787,1001
Baldwin,Alabama,0.543854139,0.231599927,0.027969551,0.004401473,0.001409066,0.003034395,0.072579244,0.003034395,0.236609036,0.563766336,0.122588073,1003
Barbour,Alabama,0.36591711,0.089220554,0.029790859,0.004603075,0.000251753,0.030856672,0.374780881,0.030856672,0.089713903,0.369622459,0.140038843,1005
Bibb,Alabama,0.586944866,0.082506747,0.011444122,0.007858105,6.00E-05,0.02757612,0.16274684,0.02757612,0.090364852,0.592544022,0.156297392,1007
Blount,Alabama,0.700987648,0.111587129,0.051025371,0.00172827,0.000330597,0.000637587,0.011123833,0.000637587,0.111318328,0.743845988,0.124945422,1009
Bullock,Alabama,0.20311729,0.0370781,0,0,0.008072587,0.039189578,0.620472687,0.039189578,0.0370781,0.199731052,0.14449779,1011
Butler,Alabama,0.42083458,0.098210523,0.013122013,0.000829622,0.02266676,0.031729557,0.327783547,0.031729557,0.098210523,0.431862863,0.117382577,1013
Calhoun,Alabama,0.558754986,0.114437728,0.017830574,0.001579622,0.006053484,0.024755138,0.156370235,0.024755138,0.11501315,0.573639922,0.146552992,1015
Chambers,Alabama,0.456828875,0.089258036,0,0,0.006788055,0.010967068,0.337480004,0.010967068,0.089258036,0.4495134,0.117640868,1017
Cherokee,Alabama,0.70443744,0.133649257,0.005885046,0,0.006861475,0,0.037803078,0,0.131761369,0.713306957,0.111363704,1019
Chilton,Alabama,0.617411762,0.127078337,0.050512986,0.001754606,0.003815039,0.013475336,0.090405523,0.013475336,0.128918886,0.63214059,0.110776354,1021
Choctaw,Alabama,0.462255636,0.057473657,0.004976187,0,0,0.040563229,0.35939757,0.040563229,0.057473657,0.462012823,0.116403991,1023
Clarke,Alabama,0.414139122,0.090310908,0.000158755,0,0.006466926,0.012460709,0.36349238,0.012460709,0.090310908,0.415253241,0.125431908,1025
Clay,Alabama,0.649300659,0.096897598,0.026758948,0.000946163,0,0.005105339,0.110385887,0.005105339,0.097843761,0.670667641,0.11731985,1027
Cleburne,Alabama,0.78611589,0.063604189,0.018299664,0,0.006364125,0,0.019009099,0,0.062476989,0.803241195,0.106607033,1029
Coffee,Alabama,0.491738269,0.17927141,0.04231903,0.004864673,0.008859199,0.020075265,0.143573955,0.020075265,0.183388518,0.524181407,0.134238138,1031
Colbert,Alabama,0.596845523,0.132649652,0.01270474,0.003642103,0.005721404,0.021696184,0.132549597,0.021696184,0.133566432,0.605514259,0.119529084,1033
Conecuh,Alabama,0.467286335,0.048088506,0.011710267,0.001417434,0,0,0.345183107,0,0.04950594,0.477579168,0.130617039,1035
Coosa,Alabama,0.544463042,0.030372614,0.012057646,0,0,0.029685858,0.270228843,0.029685858,0.029256044,0.557637258,0.142877855,1037
Covington,Alabama,0.647193535,0.122788436,0.007685599,0,0.004534502,0.006607522,0.094326423,0.006607522,0.121603502,0.652976276,0.123471506,1039
Crenshaw,Alabama,0.568170196,0.081208041,0.019045914,0,0.011319831,0.026737606,0.200242412,0.026737606,0.081208041,0.568270622,0.120013606,1041
Cullman,Alabama,0.698462233,0.138600296,0.026775333,0,0.005640417,0,0.007443611,0,0.137799359,0.719640535,0.123078109,1043
Dale,Alabama,0.566692267,0.097985097,0.032935877,0.005520694,0.011884426,0.008615155,0.144570667,0.008615155,0.10477139,0.593257311,0.145931666,1045
Dallas,Alabama,0.239708089,0.057272332,0.002169778,0.000869812,0.002012328,0.050629242,0.543059868,0.050629242,0.058142144,0.241806543,0.155777604,1047
DeKalb,Alabama,0.684707948,0.075548671,0.079997396,0.001869482,0.004783202,0,0.013316037,0,0.076055419,0.729552924,0.141646746,1049
Elmore,Alabama,0.535604306,0.139036379,0.018461223,0.007707693,0.005236227,0.021066794,0.163925953,0.021066794,0.1420602,0.542190702,0.137735913,1051
Escambia,Alabama,0.496845349,0.065519172,0.004547688,0,0,0.028095845,0.253011401,0.028095845,0.065389394,0.500427049,0.180174898,1053
Etowah,Alabama,0.607003617,0.119970478,0.018527126,0.00063183,0.005964982,0.010539525,0.119402203,0.010539525,0.120230426,0.624442754,0.129131594,1055
Fayette,Alabama,0.642591711,0.129641597,0,0,0,0.009936966,0.118549507,0.009936966,0.129641597,0.639654773,0.11451287,1057
Franklin,Alabama,0.63815384,0.090590864,0.089763573,0,0.001660323,0.004155084,0.030596475,0.004155084,0.089252752,0.727232531,0.149234926,1059
Geneva,Alabama,0.690537996,0.087834646,0.022079484,0.002682742,0.002796888,0.00714182,0.080283261,0.00714182,0.090517388,0.701734678,0.116467725,1061
Greene,Alabama,0.170212039,0.024187354,0,0,0.004244353,0.055835233,0.701797589,0.055835233,0.023566236,0.170212039,0.100224128,1063
Hale,Alabama,0.330508036,0.060785871,0.023108143,0.001027756,0.001967446,0.061733597,0.473210737,0.061733597,0.060785871,0.331025545,0.110419767,1065
Henry,Alabama,0.52619789,0.109901949,0.023294381,0.006856523,0,0.023285749,0.242043372,0.023285749,0.114251153,0.538509925,0.1009263,1067
Houston,Alabama,0.489955981,0.15629007,0.021389926,0.002041823,0.007506266,0.017905744,0.206260503,0.017905744,0.157469401,0.501485136,0.118597253,1069
Jackson,Alabama,0.726015396,0.09199483,0.014118087,0.000906009,0.002457185,9.64E-05,0.035343007,9.64E-05,0.09183902,0.736445026,0.130071495,1071
Jefferson,Alabama,0.303585068,0.184314389,0.025055053,0.003805745,0.012074877,0.05980921,0.342918037,0.05980921,0.186843978,0.312379197,0.132052576,1073
Lamar,Alabama,0.674817583,0.118897696,0.010599475,0.000791214,0,0.004347781,0.102704712,0.004347781,0.11968891,0.68463191,0.094549523,1075
Lauderdale,Alabama,0.593209831,0.156573529,0.015127465,0.001304951,0.008062564,0.007860422,0.078143896,0.007860422,0.157805782,0.605753661,0.148882716,1077
Lawrence,Alabama,0.641448541,0.058126412,0.016246909,0,0.001062471,0.005448747,0.100522751,0.005448747,0.057999551,0.656426572,0.182592916,1079
Lee,Alabama,0.310647244,0.193024582,0.024146389,0.002307438,0.023073656,0.030690239,0.174042016,0.030690239,0.194069458,0.315173951,0.275066112,1081
Limestone,Alabama,0.560418008,0.162359282,0.032519338,0.002670838,0.013681606,0.014983902,0.113607187,0.014983902,0.163882719,0.583710048,0.117414579,1083
Lowndes,Alabama,0.199727887,0.041191505,0.004242602,0,0,0.042907239,0.615061779,0.042907239,0.041191505,0.205891596,0.139776227,1085
