FIPS,name10,gisjoin,state,2018 votes,2018 partisanship,Biden 2-Party Only 2020 Margin,Swing 2016 to 2020 (2-Party Margin Only),Clinton 2-Party Only 2016 Margin,Clinton 2016 Margin,Biden 2020 Margin,Swing 2016 to 2020,Total Votes 2020 (AK is Rough Estimate),Rural % (2010),Median Age 2018,% Bachelor Degree or Above,Median Household Income,CVAP,Total Population,White %,Black %,Native %,Asian %,Multiracial %,Pacific Islander %,Hispanic %,Total Adherents (All Types) Per 1000 Population (2010),Evangelical Per 1000 (2010),Black Protestant Per 1000 (2010),Mainline Protestant Per 1000 (2010),Catholic Per 1000 (2010),Orthodox Christian Per 1000 (2010),Other Religion (Non-Christian) Per 1000 (2010),Buddhist Per 1000 (2010),Mormon Per 1000 (2010),Hindu Per 1000 (2010),Muslim Per 1000 (2010),Orthodox Jewish Per 1000 (2010),Reform/Reconstructionist Jewish Per 1000 (2010),,,,,,,,,,,,,,,
1001,Autauga,G0100010,Alabama,19665,-0.3658835,-0.451147674,0.056401687,-0.507549361,-0.489969,-0.4442,0.045769,27770,0.42,37.8,0.276893,58786,41305,55200,0.772061,0.187023,0.002058,0.0069,0.0138,0.000097,0.017916,676.879,503.99,41.979,82.859,32.359,0,15.689,0,15.029,0,0,0,0,,,,,,,,,,,,,,,
1003,Baldwin,G0100030,Alabama,77829,-0.5427859,-0.545343883,0.050500261,-0.595844144,-0.571601,-0.5376,0.034001,109679,0.423,42.8,0.313459,55962,159195,208107,0.862684,0.087754,0.007444,0.005622,0.009925,0.000063,0.026477,531.74,318.139,17.17,110.14,76.859,1.04,8.38,0,5.61,0,0,0,0,,,,,,,,,,,,,,,
1005,Barbour,G0100050,Alabama,8354,-0.0034718,-0.077186618,-0.020721727,-0.056464891,-0.055688,-0.0766,-0.020912,10518,0.678,39.9,0.122159,34186,19990,25782,0.496498,0.467984,0.003252,0.002751,0.009755,0.0002,0.01976,549.99,320.25,121.209,77.939,20.94,0,9.65,0,9.65,0,0,0,0,,,,,,,,,,,,,,,
1007,Bibb,G0100070,Alabama,6859,-0.5453485,-0.582366589,-0.017573278,-0.564793312,-0.551536,-0.5773,-0.025764,9595,0.684,39.9,0.114892,45340,17670,22527,0.750707,0.226938,0.000566,0.001981,0.007583,0,0.01245,498.8,443.329,42.159,13.179,0,0,0.13,0,0,0,0,0,0,,,,,,,,,,,,,,,
1009,Blount,G0100090,Alabama,19391,-0.7980079,-0.806939681,0.020683745,-0.827623426,-0.80909,-0.8,0.00909,27588,0.9,40.8,0.126429,48695,42625,57645,0.925982,0.015015,0.002933,0.001877,0.010674,0.000469,0.043167,651.62,509.8,1.01,52.95,82.76,0,5.089,0,5.08,0,0,0,0,,,,,,,,,,,,,,,
1011,Bullock,G0100110,Alabama,3682,0.53804348,0.500904159,-0.010873143,0.511777302,0.507431,0.4986,-0.008831,4613,0.514,39.6,0.133024,32152,8200,10352,0.242073,0.738415,0.010976,0.003049,0,0,0.006098,577.24,197.18,315.649,55.07,4.49,0,4.86,0,0,0,0,0,0,,,,,,,,,,,,,,,
1013,Butler,G0100130,Alabama,8112,-0.0889355,-0.158477648,-0.022277347,-0.136200301,-0.134563,-0.1574,-0.022837,9488,0.712,40.7,0.16093,39109,15360,20025,0.547852,0.433268,0.00026,0.005534,0.009049,0,0.004232,586.149,413.089,79.099,78.909,3.68,0,11.359,0,4.87,0,0,0,0,,,,,,,,,,,,,,,
1015,Calhoun,G0100150,Alabama,36908,-0.3394625,-0.395136778,0.030460203,-0.425596981,-0.409974,-0.39,0.019974,50983,0.337,39.7,0.17968,45197,88400,115098,0.75707,0.202093,0.002376,0.006448,0.014027,0.000113,0.017873,713.62,569.809,43.539,59.59,26.92,0.34,13.41,0,9.689,0,2.6,0,0.95,,,,,,,,,,,,,,,
1017,Chambers,G0100170,Alabama,11309,-0.1545881,-0.158022445,-0.006925358,-0.151097087,-0.148129,-0.1563,-0.008171,15284,0.491,43,0.13232,39872,26425,33826,0.581646,0.386944,0.003595,0.004541,0.006055,0,0.017408,650.33,377.12,168.93,90.019,7.28,0,6.99,0,6.929,0,0,0,0,,,,,,,,,,,,,,,
1019,Cherokee,G0100190,Alabama,8463,-0.6773888,-0.733951426,-0.028618093,-0.705333333,-0.690021,-0.7283,-0.038279,12301,0.857,45.9,0.128903,41014,20490,25853,0.93509,0.046608,0.001952,0.000732,0.006491,0,0.009029,479.24,418.06,0,61.179,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
