County,State,gisjoin,Obama 2012 %,Romney 2012 %,Other 2012 %,Obama 2012 Margin %,Obama 2-Party Margin,Clinton 2016 %,Trump 2016 %,Other 2016 %,Clinton 2016 Margin %,Clinton 2-Party Margin,2012 to 2016 Swing,2012 to 2016 2-Party Swing
Manassas Park City,Virginia,G5106850,0.618341924,0.364905498,0.016752577,0.253436426,0.257754478,0.612385321,0.331230887,0.056383792,0.281154434,0.297954223,0.027718008,0.040199745
Martinsville City,Virginia,G5106900,0.613462763,0.367918523,0.018618714,0.245544239,0.250202692,0.598103945,0.363805654,0.038090401,0.23429829,0.243576206,-0.011245949,-0.006626486
Matthews,Virginia,G5101150,0.336248604,0.649050986,0.014700409,-0.312802382,-0.317469311,0.29429486,0.662210507,0.043494634,-0.367915647,-0.384645669,-0.055113265,-0.067176359
Mecklenburg,Virginia,G5101170,0.459043576,0.528818731,0.012137693,-0.069775154,-0.070632469,0.420541987,0.554566745,0.024891268,-0.134024757,-0.137445962,-0.064249603,-0.066813492
Middlesex,Virginia,G5101190,0.389802632,0.595230263,0.014967105,-0.205427632,-0.208549007,0.350340701,0.609938508,0.039720791,-0.259597806,-0.270335756,-0.054170175,-0.06178675
Montgomery,Virginia,G5101210,0.485332488,0.487844132,0.02682338,-0.002511644,-0.002580871,0.465269225,0.452208873,0.082521903,0.013060352,0.014235056,0.015571996,0.016815927
Nelson,Virginia,G5101250,0.505575758,0.478424242,0.016,0.027151515,0.027593003,0.443496033,0.499398894,0.057105073,-0.055902861,-0.059288538,-0.083054376,-0.086881541
New Kent,Virginia,G5101270,0.324568611,0.661553912,0.013877476,-0.336985301,-0.341727618,0.289658553,0.66312694,0.047214507,-0.373468388,-0.391975309,-0.036483087,-0.050247691
Newport News City,Virginia,G5107000,0.643220382,0.342757162,0.014022456,0.300463219,0.304736372,0.602496203,0.336366638,0.061137159,0.266129565,0.283459472,-0.034333655,-0.0212769
Norfolk City,Virginia,G5107100,0.720184277,0.265926037,0.013889687,0.45425824,0.460656616,0.683827409,0.258454454,0.057718137,0.425372955,0.451428571,-0.028885285,-0.009228045
Northampton,Virginia,G5101310,0.576336466,0.412263134,0.011400401,0.164073332,0.165965404,0.527381724,0.435191186,0.03742709,0.092190538,0.095775122,-0.071882794,-0.070190282
Northumberland,Virginia,G5101330,0.422201641,0.570256682,0.007541678,-0.148055041,-0.149180109,0.385509597,0.581508516,0.032981887,-0.195998919,-0.202683813,-0.047943878,-0.053503704
Norton City,Virginia,G5107200,0.379356568,0.599865952,0.02077748,-0.220509383,-0.225188227,0.262328767,0.699315069,0.038356164,-0.436986301,-0.454415955,-0.216476918,-0.229227727
Nottoway,Virginia,G5101350,0.488460415,0.49795501,0.013584575,-0.009494595,-0.009625352,0.419483986,0.550415184,0.03010083,-0.130931198,-0.134994649,-0.121436603,-0.125369297
Orange,Virginia,G5101370,0.420080714,0.565243977,0.014675309,-0.145163263,-0.147325307,0.344933411,0.609206717,0.045859873,-0.264273306,-0.276975361,-0.119110044,-0.129650054
Page,Virginia,G5101390,0.364098553,0.620258115,0.015643332,-0.256159562,-0.260230433,0.234078212,0.729143389,0.036778399,-0.495065177,-0.513968101,-0.238905615,-0.253737668
Patrick,Virginia,G5101410,0.292650442,0.680711951,0.026637607,-0.388061509,-0.398681428,0.207390029,0.757067449,0.035542522,-0.549677419,-0.569934323,-0.161615911,-0.171252895
Petersburg City,Virginia,G5107300,0.897850138,0.095989439,0.006160422,0.801860699,0.80683112,0.871971565,0.105251705,0.02277673,0.766719861,0.784590261,-0.035140838,-0.022240858
