county,state,white_only_noncollege_pct,white_only_educated_pct,hispanic_only_pct,hispanic_educated_pct,asian_only_pct,asian_educated_pct,black_only_pct,black_educated_pct,white_and_white_hispanic_educated_pct,white_and_white_hispanic_noncollege_pct,other_pct,FIPS
Autauga,Alabama,0.487516301,0.196893894,0.018020154,0.005785418,0.00749259,0.003343213,0.163841138,0.026058091,0.202442205,0.49398933,0.126235922,1001
Baldwin,Alabama,0.519235271,0.259407545,0.032143822,0.008919836,0.007815361,0.002971278,0.07346559,0.014448213,0.265362106,0.534661905,0.107932411,1003
Barbour,Alabama,0.368505036,0.078986736,0.027874738,0.002293807,0.004537748,0.001346365,0.402363618,0.020295203,0.079834447,0.375336591,0.117732123,1005
Bibb,Alabama,0.58716829,0.085656701,0.019314746,0,0.001511589,0.001511589,0.20647184,0.006438249,0.085656701,0.603571828,0.099876834,1007
Blount,Alabama,0.696604353,0.112842048,0.060168879,0.001174027,0.003070532,0.001602998,0.013727084,0.000632168,0.113609681,0.750474126,0.113587104,1009
Bullock,Alabama,0.155665025,0.057389163,0.01637931,0,0.001108374,0,0.643842365,0.048029557,0.057389163,0.162192118,0.125615764,1011
Butler,Alabama,0.392441293,0.104143628,0.011448644,0.000585442,0.003447603,0.001626228,0.384765498,0.038509074,0.104143628,0.395563651,0.103753334,1013
Calhoun,Alabama,0.536167555,0.131789084,0.024189771,0.002520465,0.008197087,0.002487007,0.166384137,0.022650726,0.133651551,0.544420405,0.133272366,1015
Chambers,Alabama,0.440571536,0.083474337,0.012633954,0.000977627,0.010866704,0.005452153,0.339086294,0.027110359,0.083474337,0.451851852,0.113367174,1017
Cherokee,Alabama,0.74692613,0.106883532,0.012198664,0.001887888,0.001694259,0.001210185,0.041920805,0.006147739,0.10877142,0.752154129,0.09037661,1019
Chilton,Alabama,0.641143028,0.105864752,0.053859964,0.001555955,0.003949731,0.002902454,0.082405745,0.003859964,0.106672651,0.663913824,0.11277678,1021
Choctaw,Alabama,0.447975199,0.073047859,0.003003294,0,0.001646968,0.000484402,0.373764774,0.034101918,0.073047859,0.450687851,0.100561907,1023
Clarke,Alabama,0.405976328,0.08868956,0.002441484,0,0.004246059,0.000583833,0.385064487,0.01905419,0.08868956,0.407462449,0.113582082,1025
Clay,Alabama,0.654133914,0.088928876,0.018467658,0,0.000662942,0.000662942,0.133156549,0.004167061,0.088928876,0.671370395,0.104650062,1027
Cleburne,Alabama,0.718460071,0.128847655,0.015867511,0.0011272,0.000260123,0,0.034856499,0.009971386,0.129974855,0.72643718,0.101708142,1029
Coffee,Alabama,0.493211177,0.163109408,0.048498845,0.011395071,0.015633327,0.001015151,0.147146156,0.023043931,0.172524935,0.523234272,0.132401086,1031
Colbert,Alabama,0.582789578,0.139664029,0.018672775,0.000532186,0.005159887,0.001758527,0.139201259,0.019390069,0.139825998,0.587394141,0.114512472,1033
Conecuh,Alabama,0.420837589,0.057814096,0.003881512,0,0.005720123,0.005005107,0.409499489,0.052400409,0.057814096,0.424719101,0.102247191,1035
Coosa,Alabama,0.529477445,0.088878964,0.011612327,0.00111657,0,0,0.291313086,0.028249218,0.089995534,0.539973202,0.078718178,1037
Covington,Alabama,0.648104143,0.127458071,0.013258945,0.002755106,0.00437373,0.000826532,0.108998864,0.007128836,0.129731033,0.655921755,0.097806247,1039
Crenshaw,Alabama,0.53240827,0.119389085,0.006705159,0,0.016297262,0.00735705,0.209908735,0.028683181,0.119389085,0.536226485,0.115291488,1041
Cullman,Alabama,0.727240132,0.116963896,0.025955603,0.003928416,0.004099894,0.000904159,0.01010164,0.001106815,0.119224294,0.7443568,0.115638835,1043
Dale,Alabama,0.518183258,0.121344875,0.044468489,0.009104824,0.013089834,0.000976459,0.168637179,0.025651853,0.125804919,0.537976354,0.134276364,1045
Dallas,Alabama,0.219313594,0.057402423,0.010026918,3.36E-05,0.005215343,0.00346568,0.590006729,0.067530283,0.05743607,0.223216689,0.118034993,1047
DeKalb,Alabama,0.659814126,0.107304833,0.084312268,0.001951673,0.000873606,0.000223048,0.01429368,0.001282528,0.107434944,0.686784387,0.133401487,1049
Elmore,Alabama,0.488945403,0.18674402,0.021632361,0.001939124,0.005404117,0.003417309,0.175411269,0.028673607,0.188110943,0.502678217,0.121862831,1051
Escambia,Alabama,0.476867462,0.088671834,0.016441308,0.001737982,0.002815531,0.000243317,0.274566374,0.015919914,0.089888422,0.489519969,0.140637492,1053
Etowah,Alabama,0.587646906,0.135544,0.022313506,0.002618548,0.006912471,0.002271063,0.128370915,0.016704104,0.137269016,0.598791248,0.119212202,1055
Fayette,Alabama,0.667972952,0.103964961,0.012371292,0,0.0047641,0,0.104887045,0.006608268,0.103964961,0.67227601,0.10603965,1057
Franklin,Alabama,0.618352981,0.114112459,0.1038928,0.003392418,0.001017725,0.000127216,0.037359003,0.005385463,0.11720804,0.650623357,0.125265033,1059
Geneva,Alabama,0.676877518,0.10398563,0.025923589,0.00048546,0.003155493,0.001116559,0.079566969,0.005242973,0.104471091,0.697266858,0.110490801,1061
Greene,Alabama,0.147204969,0.040993789,0.002484472,0.001242236,0,0,0.702173913,0.048757764,0.041614907,0.147204969,0.107142857,1063
