gisjoin,YEAR,STATE,COUNTY,Total Population 2016,Median Age,white %,black %,Amerindian %,asian %,Pacific %,Other %,Multi %,hispanic %,Asian/Pac/Other/Multi?,Bachelor Above %,Median Household Income,2016_votes,County Power Index 2016
G0100010,2012-2016,Alabama,Autauga County,55049,37.8,0.75683482,0.183709059,0.004105433,0.008065542,0.000108994,0.002234373,0.019219241,0.025722538,0.029628149,0.245927714,53099,24661,0.01186672
G0100030,2012-2016,Alabama,Baldwin County,199510,42.3,0.83178788,0.092256027,0.00615508,0.006641271,0,0.001528745,0.017964012,0.043666984,0.026134028,0.29547111,51365,94090,0.04527552
G0100050,2012-2016,Alabama,Barbour County,26614,38.7,0.458856241,0.478883295,0.001728414,0.004433757,0,0.007439693,0.005560983,0.043097618,0.017434433,0.12867787,33956,10390,0.0049996
G0100070,2012-2016,Alabama,Bibb County,22572,40.2,0.747651958,0.212121212,0.003588517,0.000620237,0,0,0.013778132,0.022239943,0.01439837,0.12,39776,8748,0.00420948
G0100090,2012-2016,Alabama,Blount County,57704,40.8,0.876577014,0.015579509,0.002963399,0.001594344,0,0.002252877,0.013759878,0.087272979,0.017607098,0.130497568,46212,25384,0.01221462
G0100110,2012-2016,Alabama,Bullock County,10552,39.2,0.216830933,0.755022745,0.007960576,0.007960576,0,9.48E-05,0.010898408,0.001231994,0.018953753,0.102550116,29335,4701,0.00226209
G0100130,2012-2016,Alabama,Butler County,20280,40.6,0.527810651,0.435157791,0.000739645,0.010009862,0,0.000641026,0.01316568,0.012475345,0.023816568,0.160800057,34315,8685,0.00417917
G0100150,2012-2016,Alabama,Calhoun County,115883,39.1,0.72997765,0.203317139,0.001976131,0.009311116,5.18E-05,0.000232994,0.02077095,0.034362245,0.030366836,0.176529665,41954,47376,0.02279703
G0100170,2012-2016,Alabama,Chambers County,34018,43.1,0.567434887,0.404785702,0.002292904,0.009171615,0,0.000499735,0.011464519,0.004350638,0.021135869,0.124842794,36027,13778,0.00662989
G0100190,2012-2016,Alabama,Cherokee County,25897,45.7,0.918716454,0.046067112,0.005869406,0.003320848,0,0,0.010387304,0.015638877,0.013708152,0.139616989,38925,10503,0.00505398
G0100210,2012-2016,Alabama,Chilton County,43817,38.7,0.806102654,0.100098135,0.003058174,0.004359039,0,0.000844421,0.009288632,0.076248944,0.014492092,0.148545485,42594,18255,0.00878419
G0100230,2012-2016,Alabama,Choctaw County,13287,45.1,0.562053135,0.422292466,0.000150523,0.000451569,0,0.000150523,0.00933243,0.005569354,0.009934522,0.119602032,32622,7268,0.00349732
G0100250,2012-2016,Alabama,Clarke County,24847,42,0.53177446,0.454944259,0.00032197,0.004588079,0.001328128,0,0.005312513,0.001730591,0.01122872,0.121372342,32735,12936,0.00622472
G0100270,2012-2016,Alabama,Clay County,13483,43.7,0.802640362,0.147444931,0.008825929,0,0,0.001854187,0.008158422,0.03107617,0.010012608,0.110628838,38815,6572,0.00316241
G0100290,2012-2016,Alabama,Cleburne County,14991,41.5,0.927956774,0.023614169,0.001400841,0.005736775,0,0,0.018010806,0.023280635,0.023747582,0.115280725,36316,6532,0.00314316
G0100310,2012-2016,Alabama,Coffee County,50991,39.3,0.713714185,0.170049617,0.008256359,0.012217842,0,9.81E-05,0.03008374,0.0655802,0.042399639,0.236667245,47872,20513,0.00987073
G0100330,2012-2016,Alabama,Colbert County,54377,42.4,0.788531916,0.156481601,0.006031962,0.00424812,0.000570094,0.000551704,0.019567096,0.024017507,0.024937014,0.184709049,43786,24626,0.01184988
G0100350,2012-2016,Alabama,Conecuh County,12697,44,0.507206427,0.462156415,0.001496416,0.001102623,0,7.88E-05,0.010317398,0.017641963,0.011498779,0.086625795,27609,6543,0.00314845
G0100370,2012-2016,Alabama,Coosa County,10864,44.9,0.650220913,0.323637703,0.000736377,0,0,0,0.012518409,0.012886598,0.012518409,0.09940559,31910,5223,0.00251327
G0100390,2012-2016,Alabama,Covington County,37729,42.9,0.835140078,0.129767553,0.003445625,0.004664847,0.000609611,7.95E-05,0.010972992,0.015319781,0.016326963,0.149214857,37313,15818,0.00761152
G0100410,2012-2016,Alabama,Crenshaw County,13896,41.6,0.708693149,0.23675878,0.008851468,0.016695452,0,0.003957974,0.0082038,0.016839378,0.028857225,0.146476809,37557,6252,0.00300842
G0100430,2012-2016,Alabama,Cullman County,81316,40.5,0.924639677,0.010366963,0.005226524,0.006111958,0.000184466,0.000774755,0.010563727,0.04213193,0.017634906,0.14969018,39297,37278,0.01793794
G0100450,2012-2016,Alabama,Dale County,49607,36.9,0.701917068,0.194025037,0.005765315,0.01024049,0.000221743,0.0015522,0.027395327,0.058882819,0.039409761,0.160686989,44093,18617,0.00895838
G0100470,2012-2016,Alabama,Dallas County,41426,38.9,0.280693284,0.694974171,0.002196688,0.003934727,0.000579346,0,0.00803843,0.009583353,0.012552503,0.137843036,28136,18730,0.00901276
G0100490,2012-2016,Alabama,DeKalb County,70937,39.3,0.81015549,0.014773672,0.012856478,0.003016761,0.000986791,0.000112776,0.017945501,0.14015253,0.02206183,0.113659359,38248,26086,0.01255242
G0100510,2012-2016,Alabama,Elmore County,80957,38.3,0.736885013,0.211124424,0.002025767,0.005644972,0,0.001235224,0.015069728,0.028014872,0.021949924,0.222383985,53398,36905,0.01775846
G0100530,2012-2016,Alabama,Escambia County,37875,39.9,0.605940594,0.32330033,0.034666667,0.001056106,0.001768977,0.000712871,0.011960396,0.020594059,0.01549835,0.116256502,32334,15213,0.0073204
G0100550,2012-2016,Alabama,Etowah County,103363,40.9,0.784313536,0.152849666,0.004005302,0.006762575,0.000648201,0.000909416,0.014212049,0.036299256,0.022532241,0.164918545,40478,43474,0.02091942
G0100570,2012-2016,Alabama,Fayette County,16783,43.6,0.852291009,0.122385748,0,0.002681285,0,0,0.014061848,0.008580111,0.016743133,0.141453498,36205,8196,0.00394386
G0100590,2012-2016,Alabama,Franklin County,31573,39.1,0.780730371,0.040604314,0.007411396,0.003230608,0.000570107,0.000696798,0.006587907,0.160168498,0.011085421,0.123900994,36138,11955,0.00575267
G0100610,2012-2016,Alabama,Geneva County,26765,42,0.840612741,0.094227536,0.004707641,0.003848309,0,0,0.019540445,0.037063329,0.023388754,0.116617921,36519,11659,0.00561024
G0100630,2012-2016,Alabama,Greene County,8587,41.3,0.171421917,0.811808548,0.004075929,0.001630371,0,0,0.004891114,0.006172121,0.006521486,0.099748533,21339,4862,0.00233956
G0100650,2012-2016,Alabama,Hale County,15159,39.7,0.39969655,0.582822086,0.003232403,0.001055479,0.000593707,0,0.000527739,0.012072036,0.002176925,0.140287418,33351,8010,0.00385436
G0100670,2012-2016,Alabama,Henry County,17187,43.2,0.685634491,0.278873567,0,0,0,0,0.010182114,0.025309827,0.010182114,0.161443417,41045,8017,0.00385773
G0100690,2012-2016,Alabama,Houston County,103891,39.3,0.674524261,0.263747582,0.003417043,0.008210528,0.000192509,0.001241686,0.01679645,0.031869941,0.026441174,0.210179023,41945,42030,0.02022457
G0100710,2012-2016,Alabama,Jackson County,52608,42.8,0.894920925,0.032941758,0.007717457,0.003725669,0.000399179,0.002471107,0.030546685,0.02727722,0.03714264,0.125784639,38422,20785,0.01000161
G0100730,2012-2016,Alabama,Jefferson County,659096,37.5,0.50670919,0.423396592,0.00174178,0.015034229,0.000263998,0.002321361,0.013639895,0.036892956,0.031259483,0.314402473,47220,290111,0.1395996
G0100750,2012-2016,Alabama,Lamar County,14066,44.3,0.861367837,0.112611972,0.002985924,0,0,0.00561638,0.00312811,0.014289777,0.00874449,0.130626125,34298,6931,0.00333515
