FIPS,gisjoin,state,county,total_votes,dem_margin,past_pres_partisanship,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon,total_religious,black_protestant
13095,G1300950,Georgia,Dougherty County,33925,0.383695,0.39151876,68025,34.6,0.19765802,33605,0.14,0.26481165,0.68314451,0.00124559,0.00832918,0.02542079,0.349079,0.09725,0.041909,0.011849,0.57871,0.05895
13097,G1300970,Georgia,Douglas County,57365,0.107174,0.03980676,95670,36.1,0.26147671,57384,0.158,0.44612859,0.42893197,0.00143185,0.01635053,0.0899966,0.34724,0.06,0.070689,0.00883,0.498819,0.005639
13099,G1300990,Georgia,Early County,4782,-0.080251,0.03885672,7760,40.3,0.14071214,28599,0.66,0.46450382,0.50248092,0.00028626,0.00639313,0.02061069,0.462029,0.09012,0.012259,0,0.7986,0.23356
13101,G1301010,Georgia,Echols County,1175,-0.719966,-0.6751361,2415,37.1,0.07866928,35354,1,0.63503106,0.02037267,0.0136646,0,0.29714286,0.149729,0.04264,0,0,0.19236,0
13103,G1301030,Georgia,Effingham County,23395,-0.555077,-0.5115776,39795,36.1,0.182793,62820,0.671,0.7981451,0.12982525,0.0007878,0.00913128,0.03681157,0.276819,0.0879,0.00766,0.009189,0.39922,0.01617
13105,G1301050,Georgia,Elbert County,7912,-0.344685,-0.2060666,14780,42.1,0.11690434,35739,0.706,0.63782613,0.30344436,0,0.00262968,0.05424358,0.36656,0.11867,0.00883,0.009519,0.56699,0.063369
13107,G1301070,Georgia,Emanuel County,7838,-0.368957,-0.2688358,16910,36.9,0.11713958,31522,0.669,0.59794041,0.3382916,0.00030806,0.00022004,0.0446684,0.271089,0.056729,0.021899,0.00646,0.419459,0.06328
13109,G1301090,Georgia,Evans County,3602,-0.352616,-0.2806624,7545,37.1,0.1509672,40594,0.613,0.56927234,0.29469859,0.0000932,0.00745365,0.11646324,0.293639,0.110269,0.02273,0,0.43373,0.00691
13111,G1301110,Georgia,Fannin County,11764,-0.652641,-0.5819108,19625,50.3,0.17721728,39011,1,0.9548653,0.00195695,0.00079111,0.0061623,0.02011076,0.56908,0.038509,0.02284,0,0.63069,0
13113,G1301130,Georgia,Fayette County,60387,-0.193128,-0.3131232,78815,43.5,0.45776552,81689,0.182,0.65004795,0.20741586,0.00280378,0.04295173,0.0698936,0.3883,0.146659,0.097519,0.011789,0.66,0.00691
13115,G1301150,Georgia,Floyd County,34250,-0.432126,-0.3988242,68655,38.3,0.19800734,42955,0.368,0.71667065,0.1450223,0.0006341,0.01309785,0.10301562,0.477449,0.07615,0.05484,0.0077,0.63235,0.01492
13117,G1301170,Georgia,Forsyth County,97314,-0.472292,-0.6281215,129230,38.1,0.48270209,91842,0.099,0.76424762,0.0284143,0.00146192,0.09363671,0.0938035,0.254449,0.06267,0.094829,0.00516,0.421519,0
13119,G1301190,Georgia,Franklin County,8474,-0.683486,-0.5945633,16770,40.7,0.1263526,37298,0.889,0.84284298,0.09460069,0.00036056,0.00685055,0.04308635,0.592779,0.09079,0,0,0.700419,0.01639
13121,G1301210,Georgia,Fulton County,407173,0.415558,0.29779096,699145,35,0.49806094,58851,0.011,0.40257555,0.43563075,0.00190919,0.06421926,0.07419361,0.222039,0.18111,0.09928,0.00728,0.658,0.098459
13123,G1301230,Georgia,Gilmer County,12713,-0.666406,-0.6324197,21470,46.1,0.17839293,43775,0.876,0.86054704,0.00490399,0.00110513,0.00669982,0.10944191,0.32348,0.072209,0.03959,0.012189,0.44875,0
13125,G1301250,Georgia,Glascock County,1390,-0.789209,-0.7194299,2285,40.6,0.08220503,43884,1,0.87585981,0.06780216,0.0049132,0,0.01539469,0.44062,0.03342,0,0,0.47404,0
13127,G1301270,Georgia,Glynn County,34041,-0.284184,-0.2699122,60905,40.6,0.28164395,46475,0.206,0.64035438,0.25351294,0.00366726,0.01137698,0.06568389,0.26717,0.156469,0.06543,0.01491,0.54897,0.03795
13129,G1301290,Georgia,Gordon County,18850,-0.633472,-0.5774398,38090,37,0.12916241,41390,0.516,0.7845896,0.03944436,0.00119474,0.01080618,0.14994918,0.424149,0.043759,0.11093,0.0064,0.58759,0.002279
13131,G1301310,Georgia,Grady County,9187,-0.329969,-0.2666028,17620,39.8,0.1277002,35518,0.624,0.58830782,0.2814476,0.0044144,0.0054484,0.10650229,0.413699,0.06153,0.024589,0.00892,0.55644,0.047579
13133,G1301330,Georgia,Greene County,8831,-0.258812,-0.2246786,12705,48.3,0.2474698,44299,0.827,0.56074992,0.36226187,0.00036287,0.00810402,0.06168733,0.21902,0.117859,0.093159,0,0.506189,0.07578
13135,G1301350,Georgia,Gwinnett County,323931,0.058368,-0.0921585,519180,34.8,0.34929668,61865,0.005,0.4029159,0.25436207,0.00165172,0.1110768,0.205474,0.242569,0.083459,0.08417,0.008439,0.45536,0.01046
13137,G1301370,Georgia,Habersham County,16128,-0.659176,-0.6737928,31370,39.5,0.17512102,41600,0.588,0.77765072,0.03247644,0.00075473,0.02419724,0.13752173,0.47041,0.07209,0.070349,0.01499,0.62794,0
13139,G1301390,Georgia,Hall County,70133,-0.502914,-0.5619256,117555,35.8,0.22473536,51902,0.206,0.62103506,0.07293603,0.00149096,0.01747147,0.27380015,0.45616,0.063359,0.21321,0.00847,0.761,0.01106
13141,G1301410,Georgia,Hancock County,3572,0.518994,0.62108611,7230,44.1,0.10889876,26386,0.616,0.23859609,0.73396593,0,0.0064022,0.01932091,0.120799,0.0421,0,0,0.352209,0.188669
13143,G1301430,Georgia,Haralson County,11317,-0.714097,-0.6415767,21515,40.8,0.13763608,42281,0.774,0.9111522,0.04751108,0.0029302,0.0081627,0.01465099,0.42286,0.054409,0,0.01115,0.48843,0
13145,G1301450,Georgia,Harris County,16392,-0.4757,-0.4553202,25325,42.8,0.26600942,65336,0.967,0.77376334,0.15715931,0.00148521,0.00948715,0.03140155,0.239099,0.04434,0.029379,0.010089,0.35142,0.02842
13147,G1301470,Georgia,Hart County,10077,-0.464663,-0.3834507,19680,43.1,0.1365182,37983,0.745,0.75660318,0.1897876,0.00047026,0.00999295,0.03601379,0.516279,0.0844,0.105099,0.004519,0.73046,0.020109
13149,G1301490,Georgia,Heard County,4206,-0.62207,-0.5302013,8830,41.5,0.10502167,44185,1,0.8501426,0.10500389,0.00017285,0.00458042,0.00613603,0.44972,0.037009,0,0,0.487069,0
13151,G1301510,Georgia,Henry County,98037,0.043871,-0.0329729,150235,36.5,0.2747851,62561,0.139,0.48055993,0.39477801,0.00045758,0.03213787,0.06299639,0.250199,0.062909,0.018469,0.003379,0.33911,0.00384
13153,G1301530,Georgia,Houston County,59559,-0.214334,-0.206008,107010,35,0.24033591,55480,0.1,0.58026513,0.29347513,0.00260164,0.02843694,0.06445751,0.327389,0.107549,0.04377,0.012949,0.52774,0.016199
13155,G1301550,Georgia,Irwin County,3659,-0.497275,-0.3766514,7245,38.6,0.11149389,29846,0.647,0.68072611,0.27869728,0,0.00085425,0.01142552,0.35385,0.03732,0,0,0.449569,0.058289
13157,G1301570,Georgia,Jackson County,27057,-0.636006,-0.6284593,44550,38.5,0.19068022,54246,0.6,0.82609326,0.06880623,0.00091742,0.01804252,0.06951441,0.29148,0.055929,0.004429,0.009259,0.37456,0.01331
13159,G1301590,Georgia,Jasper County,6016,-0.46584,-0.3798707,10025,40.9,0.10362807,41434,0.818,0.73259156,0.20477489,0.00103161,0.00552649,0.03853806,0.23,0.066909,0,0,0.360069,0.06252
13161,G1301610,Georgia,Jeff Davis County,5089,-0.628532,-0.5099325,10370,35.8,0.10748399,36566,0.695,0.71784926,0.16224169,0,0,0.11422457,0.443259,0.02641,0.03073,0.022429,0.56975,0.04692
13163,G1301630,Georgia,Jefferson County,6934,0.108783,0.17292409,11985,38.7,0.10415502,28417,0.807,0.41725819,0.54070736,0.00148139,0.00203691,0.03444232,0.341759,0.098519,0.00354,0,0.655519,0.2114
13165,G1301650,Georgia,Jenkins County,3034,-0.252618,-0.1176991,6830,42.2,0.13025824,27398,0.661,0.59348426,0.34168967,0.00342352,0.00265047,0.03898399,0.460189,0.08717,0.01583,0,0.631769,0.06823
13167,G1301670,Georgia,Johnson County,3682,-0.375203,-0.3009014,7670,39.8,0.08690255,32685,0.654,0.6235816,0.33752837,0,0.00608624,0.02310708,0.340579,0.036969,0,0,0.443589,0.06603
13169,G1301690,Georgia,Jones County,12524,-0.346108,-0.2866584,21655,40.2,0.20232343,54020,0.677,0.72157765,0.24486952,0.00209052,0.0067245,0.0136929,0.250199,0.049149,0,0.011269,0.372529,0.06153
13171,G1301710,Georgia,Lamar County,7575,-0.383605,-0.3025553,14175,38.4,0.17157831,40364,0.609,0.65028854,0.29453147,0.0008244,0.0070349,0.02198406,0.500029,0.05214,0,0,0.61833,0.06529
13173,G1301730,Georgia,Lanier County,2861,-0.41031,-0.2375505,7615,34.2,0.15401396,31682,0.711,0.68570603,0.25101137,0,0.0027933,0.05259102,0.27367,0.05021,0.03413,0,0.37706,0.01905
