county,state,white_only_noncollege_pct,white_only_educated_pct,hispanic_only_pct,hispanic_educated_pct,asian_only_pct,asian_educated_pct,black_only_pct,black_educated_pct,white_and_white_hispanic_educated_pct,white_and_white_hispanic_noncollege_pct,other_pct,FIPS
Callahan,Texas,0.701469451,0.128093581,0.073955916,0.004350348,0.005413766,0.000580046,0.005123743,0.000773395,0.128866976,0.75638051,0.085943542,48059
Cameron,Texas,0.075407682,0.037744024,0.718467737,0.098311966,0.006265047,0.003696832,0.004919791,0.001327785,0.131345849,0.648451559,0.157195719,48061
Camp,Texas,0.470645057,0.096382956,0.140173876,0.015133627,0.003971235,0.003971235,0.147794354,0.012021037,0.102715466,0.543951916,0.141032521,48063
Carson,Texas,0.588722309,0.21861714,0.066010293,0.013649586,0.004699038,0.000223764,0.002237637,0.001342582,0.230029089,0.637279033,0.119713582,48065
Cass,Texas,0.605949696,0.111673831,0.026173554,0.002510959,0.004894242,0.002638635,0.148742393,0.013448525,0.11418479,0.619270545,0.102566285,48067
Castro,Texas,0.267006184,0.088941433,0.476900691,0.017824664,0.004183339,0.004183339,0.003455802,0,0.102582757,0.68643143,0.15951255,48069
Chambers,Texas,0.485300538,0.151215253,0.15543589,0.01036967,0.011133751,0.005566875,0.069531364,0.017064474,0.161584922,0.613011207,0.127383205,48071
Cherokee,Texas,0.45447163,0.141300362,0.139178498,0.003091109,0.005422539,0.00138838,0.120160319,0.004269922,0.144391471,0.565149054,0.139466653,48073
Childress,Texas,0.506569602,0.080433239,0.158380682,0.017578125,0.017223011,0.004616477,0.056995739,0.004971591,0.098011364,0.61772017,0.180397727,48075
Clay,Texas,0.698734488,0.143260843,0.038333948,0.00307163,0.005037474,0,0.00589753,0.001351517,0.145349552,0.723061801,0.108735717,48077
Cochran,Texas,0.344106464,0.058460076,0.430608365,0.021863118,0.000475285,0,0.028041825,0.00095057,0.078422053,0.705323194,0.138307985,48079
Coke,Texas,0.560341482,0.180442375,0.170741172,0.007372914,0.001552192,0.001552192,0,0,0.187815289,0.688009313,0.086922778,48081
Coleman,Texas,0.62807919,0.125434487,0.1190872,0,0.007858546,0,0.02463352,0.00332477,0.125434487,0.729182409,0.094907058,48083
Collin,Texas,0.276506516,0.293128058,0.111007103,0.026501479,0.116398836,0.086762124,0.077816712,0.03357319,0.315142883,0.343786178,0.125142775,48085
Collingsworth,Texas,0.461435577,0.147570218,0.212215782,0.003566652,0.001337494,0,0.045028979,0,0.15113687,0.616584931,0.132411948,48087
Colorado,Texas,0.439897378,0.144671798,0.193542332,0.00944872,0.00131406,0.001063763,0.112320881,0.008635254,0.150178337,0.540078844,0.108253551,48089
Comal,Texas,0.403064854,0.263640167,0.196506276,0.031077406,0.009612971,0.004633891,0.01667364,0.007290795,0.290167364,0.537615063,0.110502092,48091
Comanche,Texas,0.564601092,0.140120678,0.17469591,0.008524088,0.002777512,0.002107078,0.008045206,0.001436644,0.148644766,0.713245858,0.109759602,48093
Concho,Texas,0.278642937,0.081757508,0.483036707,0.016963293,0.00945495,0,0.008064516,0,0.098720801,0.700500556,0.139043382,48095
Cooke,Texas,0.560738779,0.171182182,0.102329055,0.003870442,0.008691519,0.005534053,0.022917091,0.002750051,0.174645209,0.652508997,0.134141373,48097
Coryell,Texas,0.436525573,0.090017637,0.122363316,0.011957672,0.016790123,0.004320988,0.113015873,0.014938272,0.099135802,0.513439153,0.221287478,48099
Cottle,Texas,0.453020134,0.119127517,0.205536913,0.02852349,0,0,0.125,0,0.147651007,0.570469799,0.097315436,48101
Crane,Texas,0.279367919,0.08974359,0.474060823,0.018783542,0,0,0.033392964,0.00417412,0.101669648,0.40816935,0.123434705,48103
Crockett,Texas,0.285317598,0.096147171,0.480388754,0,0,0,0.004859424,0,0.096147171,0.400902464,0.133287053,48105
Crosby,Texas,0.346543779,0.089631336,0.40921659,0.014746544,0,0,0.036866359,0.001843318,0.102534562,0.706451613,0.117741935,48107
Culberson,Texas,0.12745098,0.038062284,0.65916955,0.028835063,0,0,0.00461361,0,0.058246828,0.634948097,0.170703576,48109
Dallam,Texas,0.42373581,0.076160991,0.301960784,0.015067079,0.011971104,0.004127967,0.015892673,0.00247678,0.09122807,0.685655315,0.170278638,48111
Dallas,Texas,0.170389079,0.155190657,0.281490207,0.026117609,0.054412411,0.03074537,0.192114726,0.039755836,0.175522202,0.366042425,0.14640292,48113
Dawson,Texas,0.286451101,0.089069629,0.420055545,0.017159294,0.003074787,0,0.047212855,0.000991867,0.104641936,0.566653442,0.154136084,48115
Deaf Smith,Texas,0.208824209,0.091476091,0.534380534,0.024486024,0.001617002,0.000539001,0.011011011,0.002002002,0.110649111,0.640871641,0.152691153,48117
Delta,Texas,0.613720187,0.154413573,0.043275141,0.005163511,0.009589378,0.006147037,0.05138923,0,0.154413573,0.634865995,0.127612491,48119
Denton,Texas,0.314887992,0.259451519,0.135197479,0.02834783,0.066234621,0.041110093,0.075648023,0.029251861,0.2817653,0.399870494,0.148580366,48121
DeWitt,Texas,0.443279671,0.109571946,0.266878822,0.01516286,0.001435168,6.24E-05,0.083738924,0.006863846,0.116310995,0.558405092,0.09509547,48123
Dickens,Texas,0.529046813,0.119007332,0.222786238,0.011280316,0.000564016,0,0.044557248,0.001128032,0.130287648,0.684715172,0.084038353,48125
Dimmit,Texas,0.106884296,0.029485323,0.722522048,0.058312492,0.003027511,0.003027511,0.00434382,0,0.080558115,0.718309859,0.133737001,48127
Donley,Texas,0.592460882,0.129800853,0.044452347,0.00284495,0.001422475,0,0.036273115,0,0.131934566,0.631223329,0.195590327,48129
Duval,Texas,0.088015627,0.018729174,0.738480984,0.056762036,0.004481213,0.001149029,0.011605194,0,0.064115822,0.659542686,0.138687809,48131
Eastland,Texas,0.614827706,0.119944309,0.098642534,0.001392273,0.003898364,0.00229725,0.012530456,0,0.120988514,0.697528716,0.150156631,48133
Ector,Texas,0.277140598,0.081465978,0.429114925,0.031486908,0.008250779,0.00520906,0.037514534,0.007794986,0.109315846,0.617236408,0.166513185,48135
Edwards,Texas,0.265486726,0.18820059,0.401769912,0.017109145,0,0,0.001179941,0,0.205309735,0.635988201,0.143362832,48137
Ellis,Texas,0.446558632,0.155773075,0.174800758,0.010886443,0.006288229,0.002659415,0.078032376,0.019748299,0.164703561,0.56571757,0.13854693,48139
El Paso,Texas,0.076869957,0.047975421,0.666077792,0.118251545,0.011169626,0.005430611,0.027800033,0.007488879,0.150560325,0.548707883,0.170107171,48141
