FIPS,gisjoin,state,county,total_votes,dem_margin,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon
36039,G3600390,New York,Greene,20472,-0.1059,38940,44,0.191412623,47539,0.731,0.88507961,0.057781202,0.001540832,0.004494093,0.041088855,0.041909,0.108269,0.20184,0.003149
36041,G3600410,New York,Hamilton,3122,-0.2575,3985,51,0.25086184,51595,1,0.974905897,0.010037641,0,0.00250941,0.010037641,0.092019,0.062859,0.33685,0
36043,G3600430,New York,Herkimer,25040,-0.0802,49460,42.3,0.201889418,44288,0.518,0.970986656,0.008087343,0.002325111,0.003437121,0.009906996,0.02264,0.11059,0.23908,0.004049
36045,G3600450,New York,Jefferson,35708,-0.0286,85220,32.3,0.201036112,46549,0.48,0.88324337,0.043593053,0.00316827,0.009152781,0.043651725,0.042049,0.087099,0.182349,0.012609
36047,G3600470,New York,Kings,730534,0.6512,1529160,34.1,0.297683494,45215,0,0.411307515,0.331937142,0.001785294,0.082205263,0.163272646,0.05245,0.034109,0.24905,0.00363
36049,G3600490,New York,Lewis,10522,-0.0881,20230,40.3,0.130565748,45187,0.868,0.978497281,0.006920415,0.002718735,0.001235788,0.007167573,0.09942,0.07956,0.23786,0.004169
36051,G3600510,New York,Livingston,26770,-0.1025,51355,39.7,0.247175108,54244,0.547,0.934475708,0.023853568,0.002044592,0.008567812,0.021906338,0.065879,0.09487,0.228099,0.00615
36053,G3600530,New York,Madison,28094,0.0088,56630,39.3,0.244123233,52293,0.589,0.948437224,0.017658485,0.006092177,0.004502914,0.014744835,0.03785,0.10975,0.147189,0.004809
36055,G3600550,New York,Monroe,333813,0.1802,553730,38.4,0.354900549,52700,0.064,0.784272118,0.127453813,0.002058765,0.020659888,0.055613747,0.081129,0.071829,0.25675,0.005719
36057,G3600570,New York,Montgomery,18186,-0.0463,37575,40.9,0.161021152,42830,0.409,0.890219561,0.013439787,0.001862941,0.005988024,0.081170991,0.038909,0.117579,0.277699,0
36059,G3600590,New York,Nassau,568151,0.0764,927835,41.2,0.414082728,97049,0.002,0.733708041,0.103412784,0.000851444,0.063772115,0.091783561,0.0298,0.03746,0.505509,0.00149
36061,G3600610,New York,New York,597227,0.6883,1127410,36.4,0.580892666,68370,0,0.550584969,0.137030894,0.001321613,0.092827809,0.202712412,0.04175,0.05596,0.203879,0.005269
36063,G3600630,New York,Niagara,89013,0.0084,166500,41.8,0.214474662,47736,0.224,0.900870871,0.060630631,0.008618619,0.004834835,0.016636637,0.07934,0.08701,0.239979,0.0052
36065,G3600650,New York,Oneida,86700,-0.0468,176405,40.9,0.224097788,49148,0.33,0.892661773,0.049800176,0.00138885,0.012329582,0.032368697,0.03882,0.07923,0.369339,0.00442
36067,G3600670,New York,Onondaga,204717,0.2121,345065,38.7,0.328787332,53593,0.126,0.845463898,0.089388956,0.007621752,0.016446177,0.028603307,0.05428,0.09048,0.35006,0.00385
36069,G3600690,New York,Ontario,47853,-0.0153,82355,42.3,0.312630438,56455,0.475,0.940440775,0.018335256,0.001639245,0.008742639,0.023070852,0.049719,0.11998,0.235639,0.00515
36071,G3600710,New York,Orange,140628,0.0565,253365,36.7,0.286522995,70712,0.223,0.749708918,0.09192272,0.0018945,0.020622422,0.124425236,0.038719,0.05184,0.352209,0.0039
36073,G3600730,New York,Orleans,14706,-0.1909,32610,40.9,0.158043146,50113,0.609,0.898957375,0.063017479,0.005366452,0.002453235,0.025452315,0.050439,0.16599,0.159009,0
36075,G3600750,New York,Oswego,44591,0.0792,92995,38.6,0.16035211,47288,0.618,0.963976558,0.007204688,0.00322598,0.00322598,0.015323404,0.04507,0.085239,0.207969,0.00654
36077,G3600770,New York,Otsego,24139,0.0272,49645,40.4,0.265213826,46358,0.706,0.945714574,0.014200826,0.001007151,0.005640044,0.025480914,0.029379,0.154789,0.1863,0.00483
36079,G3600790,New York,Putnam,44345,-0.1031,71800,41.7,0.388470595,95259,0.205,0.874721449,0.020612813,0,0.014972145,0.081963788,0.012119,0.040289,0.415399,0
36081,G3600810,New York,Queens,595073,0.5916,1314605,37.3,0.299320536,56780,0,0.367760658,0.20308762,0.002742269,0.197755219,0.213748617,0.03796,0.02126,0.30372,0.00469
36083,G3600830,New York,Rensselaer,67990,0.122,122300,39.6,0.279170752,58959,0.305,0.895625511,0.047587899,0.000817661,0.012428455,0.026696648,0.02148,0.080709,0.28073,0
36085,G3600850,New York,Richmond,154169,0.0257,327105,38.6,0.290320742,73496,0,0.708595099,0.085354855,0.001100564,0.062885006,0.133183534,0.032579,0.025679,0.54225,0.00283
36087,G3600870,New York,Rockland,124442,0.0671,196725,36.8,0.408525719,86020,0.007,0.719532342,0.104918033,0.002211209,0.062905071,0.104130131,0.05525,0.02519,0.350949,0.00134
36089,G3600890,New York,St. Lawrence,37191,0.1671,86240,37.2,0.201098514,43745,0.62,0.935528757,0.028756957,0.005565863,0.005971707,0.016871521,0.04792,0.072129,0.218659,0.005559
36091,G3600910,New York,Saratoga,105510,0.0244,166685,40.8,0.367255187,67712,0.3,0.945495995,0.012838588,0.001529832,0.011848697,0.019017908,0.05909,0.079739,0.239099,0.007639
36093,G3600930,New York,Schenectady,64933,0.1582,114620,40,0.286420696,56445,0.082,0.841825161,0.07856395,0.002922701,0.02303263,0.038911185,0.03992,0.07776,0.285519,0
36095,G3600950,New York,Schoharie,13207,-0.1545,25885,42.4,0.198715646,51896,0.828,0.948232567,0.014293993,0.003090593,0.005022214,0.023952096,0.03356,0.139789,0.206659,0.011789
36097,G3600970,New York,Schuyler,8146,-0.0745,14545,44.3,0.163747144,47869,0.812,0.966311447,0.009625301,0.002062564,0.001375043,0.011000344,0.01794,0.12833,0.128599,0
36099,G3600990,New York,Seneca,13266,0.0909,27525,41.2,0.186160042,49155,0.587,0.910626703,0.052679382,0.003269755,0.003814714,0.024523161,0.0537,0.061789,0.02675,0.013789
36101,G3601010,New York,Steuben,38531,-0.1601,74795,41.3,0.201166309,46519,0.604,0.961160505,0.015241661,0.002540277,0.00548165,0.010161107,0.09367,0.107609,0.14105,0.00682
