name_2012,gisjoin,state_2012,2012votes,swing2008to12,obamamargin2012,medianage_2012,bachelorabove_2012,medianincome_2012,rural,white_2012,black_2012,native_2012,asian_2012,hispanic_2012,otherrace_2012,evangelical_2012,mainlineprotestant_2012,catholic_2012,mormon_2012,other religion,County Power Index 2012
Idaho,G1600490,Idaho,7837,-0.065227363,-0.537578155,48.3,0.148126216,37067,0.806,0.939929329,0.000785238,0.020808795,0.001177856,0.016882607,0.020416176,0.106469,0.03252,0.167759,0.038729,0.00018,0.01201489
Jefferson,G1600510,Idaho,11381,-0.094181984,-0.754942448,30.2,0.211767896,52980,0.666,0.922650231,0.000924499,0.008012327,0.001848998,0.059167951,0.007395994,0.00815,0.005549,0.005049,0.72334,0.00023,0.01744819
Jerome,G1600530,Idaho,6681,-0.011559607,-0.464750786,31.4,0.147579603,40309,0.513,0.845736434,0.002325581,0.014341085,0,0.129844961,0.007751938,0.064579,0.024449,0.291009,0.21534,0.0004,0.01024263
Kootenai,G1600550,Idaho,59828,-0.080491319,-0.343150364,39.1,0.237948111,49151,0.242,0.93840737,0.002122221,0.010273477,0.003906815,0.028071191,0.017218926,0.43798,0.02212,0.05485,0.05895,0.00237,0.09172219
Latah,G1600570,Idaho,16759,-0.025355214,0.042782982,28.1,0.428896418,39466,0.35,0.930923286,0.00610998,0.003394433,0.009674134,0.027494908,0.022403259,0.067719,0.05996,0.06465,0.086299,0.0168,0.02569319
Lemhi,G1600590,Idaho,4110,-0.046159067,-0.503406326,50,0.200803213,36372,0.611,0.953543307,0.002362205,0.004724409,0.009448819,0.018110236,0.011811024,0.176159,0.029859,0.049649,0.20249,0.00026,0.00630103
Lewis,G1600610,Idaho,1614,-0.040170954,-0.481412639,47.7,0.161549708,37340,1,0.908783784,0,0.030405405,0.003378378,0.025337838,0.032094595,0.149699,0.06412,0.09762,0.192099,0.00078,0.00247442
Lincoln,G1600630,Idaho,1662,-0.036952451,-0.40433213,33.1,0.120534224,43926,1,0.839805825,0,0.004854369,0,0.147249191,0.008090615,0.03859,0.02496,0.031679,0.26786,0.00019,0.00254801
Madison,G1600650,Idaho,14412,-0.147288041,-0.875173467,22.7,0.318816304,33776,0.285,0.946068263,0.004148595,0.00150858,0.004714313,0.032057326,0.011502923,0.00432,0.00051,0.015509,1.00786,0.00005,0.02209501
Minidoka,G1600670,Idaho,6973,-0.079356868,-0.581098523,35.4,0.103112684,43301,0.442,0.790567546,0.000799361,0.004396483,0.003197442,0.184652278,0.01638689,0.111319,0.026059,0.20674,0.38437,0,0.01069029
Nez Perce,G1600690,Idaho,16848,-0.027238525,-0.208689459,41,0.207649663,45587,0.192,0.909016124,0.001974334,0.043599868,0.006416584,0.018920698,0.020072392,0.147539,0.05389,0.03739,0.049939,0.005151,0.02582964
Oneida,G1600710,Idaho,2089,-0.154785275,-0.775969363,39.7,0.120695904,44298,1,0.951986755,0,0.008278146,0,0.009933775,0.029801325,0.0105,0.00397,0,0.82758,0,0.00320264
Owyhee,G1600730,Idaho,3724,-0.014016551,-0.526584318,35.8,0.086780324,33626,0.773,0.826601671,0,0.033426184,0.001392758,0.110027855,0.028551532,0.07054,0.009369,0.034359,0.17465,0.00009,0.00570926
Payette,G1600750,Idaho,8495,-0.024596926,-0.439434962,38,0.148086058,42747,0.427,0.883743523,0.000259067,0.009391192,0.00388601,0.080958549,0.021761658,0.104319,0.05088,0.10162,0.15608,0.00579,0.01302367
Power,G1600770,Idaho,2903,-0.050084688,-0.305890458,34,0.150169924,41950,0.426,0.855737705,0,0.015300546,0,0.121311475,0.007650273,0.064989,0.08712,0.26506,0.39043,0.00179,0.00445058
